Date,Name,Year,Letterboxd URI
2023-02-07,The Parties,2022,https://boxd.it/Doz2
2023-02-11,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk
2023-02-11,Decision to Leave,2022,https://boxd.it/qp9e
2023-02-12,Bodies Bodies Bodies,2022,https://boxd.it/iRcE
2023-02-14,TÁR,2022,https://boxd.it/uNIA
2023-02-25,The Sea Beast,2022,https://boxd.it/kv3a
2023-03-01,The Departed,2006,https://boxd.it/28MA
2023-03-02,Triangle of Sadness,2022,https://boxd.it/hXlq
2023-03-07,The Whale,2022,https://boxd.it/tw4c
2023-03-08,Top Gun: Maverick,2022,https://boxd.it/cjr4
2023-06-04,Scream,1996,https://boxd.it/24EC
2023-06-04,Spider-Man,2002,https://boxd.it/2a8i
2023-06-10,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2023-09-10,The Menu,2022,https://boxd.it/lScm
2023-09-10,The Last Duel,2021,https://boxd.it/mQbe
2023-09-10,Prisoners,2013,https://boxd.it/4E5i
2023-09-10,Shithouse,2020,https://boxd.it/nCFc
2023-12-02,When Evil Lurks,2023,https://boxd.it/rXBe
2023-12-02,Napoleon,2023,https://boxd.it/shJM
2023-12-03,There's Something About Mary,1998,https://boxd.it/2aae
2024-01-03,Past Lives,2023,https://boxd.it/oNB8
2024-01-03,How to Have Sex,2023,https://boxd.it/EFIM
2024-01-09,The Nice Guys,2016,https://boxd.it/94Hg
2024-01-11,El Conde,2023,https://boxd.it/Bt4O
2024-01-11,Bottoms,2023,https://boxd.it/uGf2
2024-01-12,Society of the Snow,2023,https://boxd.it/y9aw
2024-01-17,Saltburn,2023,https://boxd.it/z4eg
2024-01-19,The World's End,2013,https://boxd.it/3EiO
2024-01-24,The Boy and the Heron,2023,https://boxd.it/ipeM
2024-01-25,Nimona,2023,https://boxd.it/Aiyc
2024-01-25,Elemental,2023,https://boxd.it/ASiE
2024-01-25,Oppenheimer,2023,https://boxd.it/wUow
2024-01-25,Barbie,2023,https://boxd.it/bCLK
2024-01-25,The Creator,2023,https://boxd.it/oXWq
2024-01-25,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/l7zS
2024-01-25,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/b8vM
2024-01-31,The Holdovers,2023,https://boxd.it/vHza
2024-01-31,Robots,2005,https://boxd.it/1Xve
2024-01-31,The Hangover Part II,2011,https://boxd.it/PZI
2024-02-04,Killers of the Flower Moon,2023,https://boxd.it/gHp0
2024-02-05,Ghost in the Shell,1995,https://boxd.it/1YYc
2024-02-05,Poor Things,2023,https://boxd.it/tNWU
2024-02-06,Anatomy of a Fall,2023,https://boxd.it/yuDE
2024-02-07,Barbarian,2022,https://boxd.it/yohi
2024-02-11,American Fiction,2023,https://boxd.it/DYHm
2024-02-13,The Notebook,2004,https://boxd.it/1UNE
2024-02-21,Inside Man,2006,https://boxd.it/2auS
2024-02-23,The Lobster,2015,https://boxd.it/7tnw
2024-02-27,Sideways,2004,https://boxd.it/1Y5c
2024-02-28,The Zone of Interest,2023,https://boxd.it/gJsA
2024-03-12,Dune: Part Two,2024,https://boxd.it/pUfA
2024-03-15,"Are You There God? It's Me, Margaret.",2023,https://boxd.it/kiYC
2024-06-18,Inside Out 2,2024,https://boxd.it/CFrC
2024-07-29,Prey,2022,https://boxd.it/sNBU
2024-10-13,Superbad,2007,https://boxd.it/20hO
2024-10-13,Joker: Folie à Deux,2024,https://boxd.it/xBoE
2024-10-13,Beetlejuice,1988,https://boxd.it/24QI
2024-10-18,The Wild Robot,2024,https://boxd.it/IWFy
2024-11-17,Ocean's Eleven,2001,https://boxd.it/2aZm
2024-11-18,GoodFellas,1990,https://boxd.it/29FA
