"date","name","year","letterboxd_uri","rating","rewatch","tags","watched_date","dia_semana"
2022-08-02,"Veronica Mars",2014,"https://boxd.it/35wr3z",1.5,NA,NA,2022-08-01,"Monday"
2022-08-03,"Sunshine",2007,"https://boxd.it/35Ju7P",3,NA,NA,2022-08-03,"Wednesday"
2022-08-05,"Mulan",1998,"https://boxd.it/366Ggb",5,"Yes",NA,2022-08-04,"Thursday"
2022-08-26,"Nope",2022,"https://boxd.it/3arCJB",4.5,NA,NA,2022-08-25,"Thursday"
2022-10-07,"Argentina, 1985",2022,"https://boxd.it/3ioQVH",4.5,NA,NA,2022-10-05,"Wednesday"
2022-11-23,"Fantastic Mr. Fox",2009,"https://boxd.it/3swAz7",NA,NA,NA,2022-11-22,"Tuesday"
2022-11-24,"Pig",2021,"https://boxd.it/3sIFrr",NA,NA,NA,2022-11-23,"Wednesday"
2022-12-11,"The Marriage App",2022,"https://boxd.it/3w9qbf",0.5,NA,NA,2022-12-10,"Saturday"
2022-12-24,"See How They Run",2022,"https://boxd.it/3zyPo1",NA,NA,NA,2022-12-22,"Thursday"
2022-12-24,"Glass Onion",2022,"https://boxd.it/3zyPHd",NA,NA,NA,2022-12-23,"Friday"
2023-01-18,"X",2022,"https://boxd.it/3IXqyh",NA,NA,NA,2023-01-17,"Tuesday"
2023-01-19,"Puss in Boots: The Last Wish",2022,"https://boxd.it/3Jds1h",NA,NA,NA,2023-01-18,"Wednesday"
2023-01-24,"Babylon",2022,"https://boxd.it/3KPTwr",NA,NA,NA,2023-01-23,"Monday"
2023-01-31,"RRR",2022,"https://boxd.it/3N4tir",NA,NA,NA,2023-01-30,"Monday"
2023-02-03,"The Fabelmans",2022,"https://boxd.it/3NMI3z",NA,NA,NA,2023-02-01,"Wednesday"
2023-02-05,"The Banshees of Inisherin",2022,"https://boxd.it/3Oxmvb",NA,NA,NA,2023-02-04,"Saturday"
2023-02-07,"The Parties",2022,"https://boxd.it/3PaY0X",NA,NA,NA,2023-02-06,"Monday"
2023-02-11,"Marcel the Shell with Shoes On",2021,"https://boxd.it/3Q6pKn",NA,NA,NA,2023-02-10,"Friday"
2023-02-11,"Decision to Leave",2022,"https://boxd.it/3QbhHv",NA,NA,NA,2023-02-10,"Friday"
2023-02-12,"Bodies Bodies Bodies",2022,"https://boxd.it/3QsHFz",NA,NA,NA,2023-02-11,"Saturday"
2023-02-14,"TÁR",2022,"https://boxd.it/3R1Ua5",NA,NA,NA,2023-02-13,"Monday"
2023-02-25,"The Sea Beast",2022,"https://boxd.it/3U66P5",NA,NA,NA,2023-02-24,"Friday"
2023-03-01,"The Departed",2006,"https://boxd.it/3Ve3pj",NA,NA,NA,2023-02-27,"Monday"
2023-03-02,"Triangle of Sadness",2022,"https://boxd.it/3VyUfV",NA,NA,NA,2023-03-01,"Wednesday"
2023-03-07,"The Whale",2022,"https://boxd.it/3WVSrl",NA,NA,NA,2023-03-06,"Monday"
2023-03-08,"Top Gun: Maverick",2022,"https://boxd.it/3XcAlt",NA,NA,NA,2023-03-07,"Tuesday"
2023-06-10,"Spider-Man: Across the Spider-Verse",2023,"https://boxd.it/4m8aAp",NA,NA,NA,2023-06-10,"Saturday"
2023-09-10,"Shithouse",2020,"https://boxd.it/4PhNKd",NA,NA,NA,2023-09-09,"Saturday"
2023-12-02,"Napoleon",2023,"https://boxd.it/5fPfql",NA,NA,NA,2023-11-25,"Saturday"
2023-12-02,"When Evil Lurks",2023,"https://boxd.it/5fPf4f",NA,NA,NA,2023-12-01,"Friday"
2024-01-03,"Past Lives",2023,"https://boxd.it/5tl0Z7",NA,NA,NA,2024-01-02,"Tuesday"
2024-01-03,"How to Have Sex",2023,"https://boxd.it/5tOhgB",NA,NA,NA,2024-01-03,"Wednesday"
2024-01-09,"The Nice Guys",2016,"https://boxd.it/5xMRfr",NA,NA,NA,2024-01-09,"Tuesday"
2024-01-11,"El Conde",2023,"https://boxd.it/5yJX0Z",NA,NA,NA,2024-01-10,"Wednesday"
2024-01-11,"Bottoms",2023,"https://boxd.it/5yPbhZ",NA,NA,NA,2024-01-10,"Wednesday"
2024-01-12,"Society of the Snow",2023,"https://boxd.it/5zljsF",NA,NA,NA,2024-01-11,"Thursday"
2024-01-17,"Saltburn",2023,"https://boxd.it/5Cg5WX",NA,NA,NA,2024-01-17,"Wednesday"
2024-01-19,"The World's End",2013,"https://boxd.it/5D8BK3",NA,NA,NA,2024-01-19,"Friday"
2024-01-24,"The Boy and the Heron",2023,"https://boxd.it/5FIFAB",NA,NA,NA,2024-01-24,"Wednesday"
2024-01-31,"The Holdovers",2023,"https://boxd.it/5JbBpJ",NA,NA,NA,2024-01-31,"Wednesday"
2024-02-04,"Killers of the Flower Moon",2023,"https://boxd.it/5L19D7",NA,NA,NA,2024-02-03,"Saturday"
2024-02-05,"Poor Things",2023,"https://boxd.it/5Lzr4R",NA,NA,NA,2024-02-04,"Sunday"
2024-02-06,"Anatomy of a Fall",2023,"https://boxd.it/5LZsrp",NA,NA,NA,2024-02-05,"Monday"
2024-02-07,"Barbarian",2022,"https://boxd.it/5MnIrN",NA,NA,NA,2024-02-06,"Tuesday"
2024-02-11,"American Fiction",2023,"https://boxd.it/5NYKep",NA,NA,NA,2024-02-10,"Saturday"
2024-02-13,"The Notebook",2004,"https://boxd.it/5OR50B",NA,NA,NA,2024-02-12,"Monday"
2024-02-21,"Inside Man",2006,"https://boxd.it/5SLuz1",NA,"Yes",NA,2024-02-20,"Tuesday"
2024-02-23,"The Lobster",2015,"https://boxd.it/5TASgJ",NA,NA,NA,2024-02-23,"Friday"
2024-02-27,"Sideways",2004,"https://boxd.it/5VxIZV",NA,NA,NA,2024-02-26,"Monday"
2024-02-28,"The Zone of Interest",2023,"https://boxd.it/5VWhoj",NA,NA,NA,2024-02-27,"Tuesday"
2024-03-12,"Dune: Part Two",2024,"https://boxd.it/62cvT7",NA,NA,NA,2024-03-12,"Tuesday"
2024-03-15,"Are You There God? It's Me, Margaret.",2023,"https://boxd.it/63o6pT",NA,NA,NA,2024-03-14,"Thursday"
2024-06-18,"Inside Out 2",2024,"https://boxd.it/6HkNZx",NA,NA,NA,2024-06-17,"Monday"
2024-07-29,"Prey",2022,"https://boxd.it/6Z0QZd",NA,NA,NA,2024-07-28,"Sunday"
2024-10-13,"Joker: Folie à Deux",2024,"https://boxd.it/7xt84V",NA,NA,NA,2024-10-10,"Thursday"
2024-10-13,"Beetlejuice",1988,"https://boxd.it/7xt8Ct",NA,NA,NA,2024-10-12,"Saturday"
2024-10-18,"The Wild Robot",2024,"https://boxd.it/7zUKhv",NA,NA,NA,2024-10-17,"Thursday"
2024-11-17,"Ocean's Eleven",2001,"https://boxd.it/7Pr1pb",NA,NA,NA,2024-11-16,"Saturday"
2024-11-18,"GoodFellas",1990,"https://boxd.it/7Q3yTJ",NA,NA,NA,2024-11-17,"Sunday"
